年份,主题,总词频,词频明细
2022,乡村振兴,182,乡村(76)，振兴(57)，农村(33)，农产品(16)，助农(0)
2022,数字中国,93,数字(52)，数字化(17)，人工智能(12)，区块链(0)，元宇宙(0)，北斗(0)，宇宙(12)
2022,医疗健康,111,医疗(25)，健康(39)，疫苗(28)，检测(19)，中医药(0)
2022,智慧养老,97,养老(66)，老年人(16)，康养(0)，居家(15)，陪诊(0)
2022,双碳战略,101,双碳(33)，低碳(19)，新能源(49)，光伏(0)，储能(0)
2022,文化传承,134,非遗(0)，国潮(50)，红色(28)，国风(30)，传统(26)
2022,教育改革,168,双减(77)，教育(69)，研学(0)，校园(11)，托育(11)
2022,生物科技,16,生物(16)，基因(0)，细胞(0)，靶向(0)，诊断(0)
2022,智能交通,12,出行(12)，无人驾驶(0)，导航(0)，物流(0)
2022,新消费,111,直播(37)，电商(46)，种草(11)，盲盒(0)，团购(17)
2022,环境治理,28,垃圾(15)，回收(13)，污染(0)，水质(0)，土壤(0)
2022,青年发展,163,青年(37)，三孩(24)，就业(20)，创业(21)，焦虑(39)，偶像(11)，网红(11)
2022,现代农业,79,农业(15)，预制(31)，生鲜(33)，养殖(0)，种植(0)
2022,城市安全,75,疫情(60)，反诈(15)，应急(0)，消毒(0)，预警(0)
2022,人工智能+,0,视觉(0)，算法(0)，深度学习(0)，生成式(0)，仿生(0)
2022,新材料研发,0,纳米(0)，复合材料(0)，石墨(0)，陶瓷(0)，涂层(0)
2022,冰雪经济,138,冰雪(44)，冬奥(33)，运动(35)，体育(13)，健身(13)
2022,数字文旅,112,旅游(30)，沉浸(18)，剧本(39)，影视(0)，文创(25)
2022,家庭服务,41,育儿(0)，宠物(0)，家庭(12)，居家(15)，儿童(14)
2022,先进制造,0,激光(0)，3D打印(0)，精密(0)，智造(0)，焊接(0)
2022,食品安全,73,检测(19)，临期(21)，溯源(0)，冷链(0)，生鲜(33)
2022,女性议题,24,女性(24)，美妆(0)，服饰(0)，护肤(0)，母婴(0)
2022,海洋开发,12,海洋(12)，水产(0)，生态(0)，资源(0)，航运(0)
2022,心理服务,62,心理(11)，焦虑(39)，压力(0)，青少年(0)，家庭(12)
2022,新能源车,104,新能源(49)，电池(0)，充电(0)，汽车(55)，无人驾驶(0)
2022,文化科技,19,虚拟(19)，元宇宙(0)，数字孪生(0)，光影(0)，交互(0)
2022,区域发展,45,三门峡(0)，河南(12)，新疆(0)，云南(0)，农村(33)
2022,社会公益,0,公益(0)，助残(0)，志愿(0)，救援(0)，无障碍(0)
2022,智能家居,0,智能(0)，物联网(0)，家居(0)，管家(0)，安防(0)
2022,其他,110,付费(41)，问卷(12)，电影(11)，会员(12)，暴力(11)，原因(11)，金融(12)
2023,乡村振兴,190,乡村(81)，振兴(66)，农村(12)，农产品(18)，助农(13)
2023,数字中国,100,数字(61)，数字化(24)，人工智能(15)，区块链(0)，元宇宙(0)，北斗(0)，宇宙(0)
2023,医疗健康,127,医疗(21)，健康(61)，疫苗(0)，检测(45)，中医药(0)
2023,智慧养老,70,养老(57)，老年人(0)，康养(0)，居家(0)，陪诊(13)
2023,双碳战略,22,双碳(0)，低碳(0)，新能源(22)，光伏(0)，储能(0)
2023,文化传承,49,非遗(19)，国潮(0)，红色(12)，国风(0)，传统(18)
2023,教育改革,53,双减(0)，教育(29)，研学(0)，校园(24)，托育(0)
2023,生物科技,18,生物(18)，基因(0)，细胞(0)，靶向(0)，诊断(0)
